Country,City,Year,AQI_Level,PM2_5,PM10,NO2,CO_Level,Pollution_Source,Air_Quality_Status
UAE,Abu Dhabi,2025,227,123.1,234.14,88.87,7.21,Natural Dust,Very Poor
Brazil,Brasilia,2021,218,85.57,123.3,127.51,9.04,Vehicle Emissions,Very Poor
Japan,Yokohama,2026,106,50.6,108.59,39.32,2.72,Construction Dust,Poor
Canada,Vancouver,2023,16,6.21,22.4,3.34,0.61,Natural Dust,Good
USA,San Francisco,2018,51,20.46,46.83,28.88,1.84,Construction Dust,Moderate
Canada,Toronto,2019,72,36.61,84.93,27.22,2.2,Construction Dust,Moderate
Japan,Yokohama,2024,150,82.47,138.46,52.74,4.67,Power Plants,Poor
France,Lyon,2024,119,61.36,152.24,41.84,3.58,Construction Dust,Poor
Brazil,Rio de Janeiro,2020,247,109.78,174.27,145.83,10.61,Traffic Congestion,Very Poor
Brazil,Fortaleza,2018,138,76.38,128.78,79.65,6.05,Vehicle Emissions,Poor
India,Kolkata,2025,299,197.77,323.49,184.84,9.24,Industrial Pollution,Very Poor
Brazil,Fortaleza,2024,157,57.34,92.44,102.28,6.11,Traffic Congestion,Poor
UAE,Al Ain,2025,349,192.49,241.87,138.7,10.01,Power Plants,Hazardous
Brazil,Brasilia,2018,192,89.27,125.2,117.41,5.75,Industrial Pollution,Poor
Japan,Yokohama,2020,89,36.89,79.41,38.4,2.92,Construction Dust,Moderate
India,Mumbai,2019,371,183.99,225.67,145.82,15.38,Burning Waste,Hazardous
Japan,Kyoto,2018,112,69.38,156.91,49.66,3.66,Natural Dust,Poor
Japan,Osaka,2022,112,60.74,79.93,39.86,3.13,Power Plants,Poor
UK,London,2020,91,37.28,91.26,30.21,2.55,Construction Dust,Moderate
India,Chennai,2025,410,270.85,464.12,167.96,11.98,Power Plants,Hazardous
Japan,Tokyo,2023,179,96.66,159.31,79.4,7.87,Burning Waste,Poor
UK,Leeds,2026,70,31.06,60.12,39.56,3.08,Vehicle Emissions,Moderate
UK,Manchester,2026,85,46.1,64.0,43.09,3.14,Traffic Congestion,Moderate
India,Mumbai,2023,356,129.12,173.48,215.32,15.36,Vehicle Emissions,Hazardous
Canada,Vancouver,2019,18,7.0,22.87,3.31,0.15,Natural Dust,Good
France,Lyon,2026,126,75.12,115.14,78.98,5.75,Vehicle Emissions,Poor
UAE,Ajman,2019,253,95.87,127.17,154.1,10.64,Traffic Congestion,Very Poor
France,Paris,2020,74,44.3,65.81,36.43,3.22,Traffic Congestion,Moderate
Brazil,Sao Paulo,2023,203,142.62,193.03,82.17,8.9,Burning Waste,Very Poor
UAE,Abu Dhabi,2019,308,214.19,247.89,178.47,8.83,Industrial Pollution,Hazardous
Brazil,Rio de Janeiro,2022,184,114.28,149.33,69.49,8.16,Burning Waste,Poor
Japan,Osaka,2019,158,73.49,97.44,59.58,6.95,Burning Waste,Poor
USA,Chicago,2021,68,31.84,72.53,24.61,1.74,Construction Dust,Moderate
India,Kolkata,2020,221,129.84,218.25,139.53,9.69,Vehicle Emissions,Very Poor
UAE,Dubai,2022,275,149.57,202.03,103.55,8.29,Power Plants,Very Poor
UAE,Al Ain,2023,181,104.51,159.9,109.06,7.92,Traffic Congestion,Poor
Japan,Kyoto,2024,103,49.11,87.6,37.57,3.19,Natural Dust,Poor
Canada,Toronto,2025,66,43.72,83.71,43.33,1.73,Industrial Pollution,Moderate
UK,Glasgow,2026,122,65.61,118.53,77.69,5.22,Traffic Congestion,Poor
Japan,Kyoto,2021,111,58.36,116.17,35.66,3.62,Power Plants,Poor
Australia,Sydney,2021,34,21.95,54.8,6.52,0.99,Construction Dust,Good
UK,Manchester,2024,47,29.95,62.43,16.35,1.33,Construction Dust,Good
India,Delhi,2026,288,179.73,267.78,173.5,8.54,Industrial Pollution,Very Poor
UK,London,2019,82,45.68,69.04,32.08,2.54,Power Plants,Moderate
Canada,Calgary,2023,94,63.04,85.31,63.61,2.74,Industrial Pollution,Moderate
UK,Leeds,2025,118,65.33,98.03,72.84,3.57,Industrial Pollution,Poor
India,Kolkata,2022,297,173.56,260.79,178.68,12.38,Vehicle Emissions,Very Poor
Canada,Toronto,2022,110,54.19,87.35,51.54,3.66,Power Plants,Poor
France,Lyon,2025,174,68.81,86.63,107.44,7.12,Vehicle Emissions,Poor
UAE,Ajman,2018,272,119.1,173.95,162.35,11.86,Traffic Congestion,Very Poor
UAE,Al Ain,2023,276,109.09,192.02,159.45,11.77,Vehicle Emissions,Very Poor
Brazil,Sao Paulo,2026,123,46.42,69.95,82.86,5.12,Traffic Congestion,Poor
France,Toulouse,2023,73,33.51,82.82,27.54,2.48,Natural Dust,Moderate
France,Toulouse,2024,59,31.05,68.29,43.22,2.48,Vehicle Emissions,Moderate
UK,Glasgow,2021,153,93.99,146.27,67.51,6.01,Burning Waste,Poor
UAE,Ajman,2018,135,75.99,154.41,50.03,3.59,Construction Dust,Poor
India,Bangalore,2026,356,164.39,321.14,135.33,10.24,Construction Dust,Hazardous
Germany,Cologne,2023,51,26.38,47.47,14.39,1.65,Burning Waste,Moderate
Germany,Cologne,2020,44,27.84,59.53,29.34,2.27,Traffic Congestion,Good
Canada,Toronto,2021,54,31.85,64.18,22.49,2.62,Traffic Congestion,Moderate
UAE,Abu Dhabi,2023,235,172.69,306.55,145.88,6.95,Industrial Pollution,Very Poor
UAE,Sharjah,2023,225,156.41,189.25,98.35,6.26,Power Plants,Very Poor
Germany,Berlin,2026,64,42.25,76.89,35.22,1.66,Power Plants,Moderate
UAE,Dubai,2021,133,85.23,127.68,59.83,4.24,Power Plants,Poor
UK,Glasgow,2022,108,51.61,80.3,70.13,4.93,Vehicle Emissions,Poor
Australia,Melbourne,2022,108,65.95,118.92,34.23,2.93,Power Plants,Poor
USA,Los Angeles,2020,156,84.68,125.3,71.48,4.32,Power Plants,Poor
France,Lyon,2019,121,51.3,98.42,77.66,4.82,Traffic Congestion,Poor
Brazil,Rio de Janeiro,2025,252,149.1,204.67,96.14,7.45,Power Plants,Very Poor
Canada,Toronto,2026,48,18.26,48.45,17.54,1.61,Construction Dust,Good
Australia,Melbourne,2026,50,31.35,51.51,12.05,2.12,Burning Waste,Good
Germany,Munich,2022,25,12.21,35.36,6.69,1.05,Natural Dust,Good
France,Nice,2026,68,42.24,72.55,39.2,2.66,Traffic Congestion,Moderate
UAE,Dubai,2021,346,186.65,315.35,211.26,10.01,Industrial Pollution,Hazardous
Brazil,Rio de Janeiro,2019,158,109.3,187.89,56.73,6.7,Burning Waste,Poor
UAE,Abu Dhabi,2020,331,159.86,229.26,141.88,9.89,Power Plants,Hazardous
India,Kolkata,2018,441,225.95,373.48,220.0,12.9,Industrial Pollution,Hazardous
India,Mumbai,2022,293,135.0,184.16,171.63,8.59,Industrial Pollution,Very Poor
Brazil,Rio de Janeiro,2018,255,115.55,160.63,108.85,10.64,Burning Waste,Very Poor
Brazil,Fortaleza,2018,141,103.55,143.84,61.14,5.58,Burning Waste,Poor
Germany,Berlin,2024,65,43.06,74.32,20.93,3.02,Burning Waste,Moderate
Brazil,Brasilia,2019,234,129.29,154.61,149.88,10.32,Traffic Congestion,Very Poor
UK,London,2025,130,70.45,88.79,78.87,5.92,Traffic Congestion,Poor
UAE,Ajman,2023,282,162.66,341.61,117.16,8.49,Natural Dust,Very Poor
Australia,Sydney,2021,43,30.42,58.39,9.24,1.63,Burning Waste,Good
Japan,Osaka,2026,135,65.02,129.92,46.06,3.74,Natural Dust,Poor
Brazil,Salvador,2025,154,68.58,112.23,95.86,6.55,Vehicle Emissions,Poor
Canada,Toronto,2020,23,14.33,35.97,18.6,0.71,Construction Dust,Good
India,Kolkata,2020,372,190.78,330.55,153.27,11.44,Natural Dust,Hazardous
UK,Manchester,2021,80,34.02,74.81,25.36,2.17,Construction Dust,Moderate
France,Paris,2026,116,66.93,89.32,54.03,3.72,Power Plants,Poor
Japan,Osaka,2026,134,73.74,139.69,80.69,5.25,Vehicle Emissions,Poor
Australia,Perth,2022,95,61.63,109.1,48.02,3.18,Industrial Pollution,Moderate
Japan,Nagoya,2026,110,63.16,114.32,52.68,4.65,Burning Waste,Poor
Brazil,Salvador,2023,110,60.27,81.5,44.58,3.03,Power Plants,Poor
Germany,Cologne,2025,148,87.98,155.11,85.0,4.71,Industrial Pollution,Poor
India,Mumbai,2025,486,229.54,400.87,220.0,19.94,Traffic Congestion,Hazardous
India,Bangalore,2024,211,78.62,155.32,75.67,6.15,Construction Dust,Very Poor
France,Nice,2021,97,48.57,78.26,54.03,2.58,Industrial Pollution,Moderate
Germany,Frankfurt,2021,66,47.53,84.22,30.28,3.04,Burning Waste,Moderate
UAE,Ajman,2023,272,172.85,242.1,107.14,11.19,Burning Waste,Very Poor
USA,Los Angeles,2026,69,28.51,69.61,21.81,1.65,Natural Dust,Moderate
UK,Leeds,2024,22,8.35,23.16,6.83,0.32,Natural Dust,Good
India,Kolkata,2022,359,184.54,296.59,215.89,15.03,Traffic Congestion,Hazardous
Canada,Toronto,2022,75,36.31,97.37,33.07,2.71,Construction Dust,Moderate
India,Kolkata,2025,392,223.79,262.33,158.6,16.25,Burning Waste,Hazardous
Japan,Kyoto,2023,106,55.65,97.87,57.17,4.41,Vehicle Emissions,Poor
India,Mumbai,2018,318,235.25,308.79,134.45,9.7,Power Plants,Hazardous
India,Mumbai,2018,484,290.22,550.0,190.3,14.25,Construction Dust,Hazardous
USA,Houston,2026,65,40.12,84.13,35.92,1.55,Construction Dust,Moderate
USA,New York,2025,104,51.57,89.34,70.05,3.6,Industrial Pollution,Poor
Australia,Brisbane,2023,37,20.59,49.94,21.1,1.28,Construction Dust,Good
UAE,Ajman,2018,339,171.48,237.38,199.65,13.93,Traffic Congestion,Hazardous
Canada,Calgary,2019,136,83.97,148.65,56.66,3.93,Power Plants,Poor
India,Mumbai,2020,220,99.83,164.08,140.09,9.13,Vehicle Emissions,Very Poor
India,Bangalore,2020,445,327.47,550.0,220.0,13.49,Industrial Pollution,Hazardous
UK,London,2019,142,93.56,120.39,55.86,4.76,Power Plants,Poor
USA,Los Angeles,2019,31,13.66,36.07,13.25,0.9,Natural Dust,Good
Canada,Calgary,2023,71,42.77,111.84,36.56,1.72,Construction Dust,Moderate
France,Marseille,2024,108,47.37,73.66,65.17,4.57,Traffic Congestion,Poor
Australia,Melbourne,2021,52,32.85,64.98,28.72,2.09,Burning Waste,Moderate
UAE,Al Ain,2018,180,102.33,216.53,75.61,5.31,Natural Dust,Poor
Germany,Munich,2023,149,101.74,172.54,61.37,6.62,Burning Waste,Poor
UAE,Abu Dhabi,2024,194,93.98,155.69,68.73,5.84,Power Plants,Poor
Japan,Kyoto,2021,78,35.48,65.15,37.06,3.1,Vehicle Emissions,Moderate
India,Mumbai,2023,495,278.92,450.03,205.95,20.36,Burning Waste,Hazardous
Australia,Sydney,2026,46,29.74,56.18,24.21,2.36,Traffic Congestion,Good
Japan,Yokohama,2021,141,98.11,146.44,62.63,4.37,Power Plants,Poor
Canada,Montreal,2021,132,91.01,112.81,72.39,4.04,Industrial Pollution,Poor
Germany,Munich,2022,53,19.13,44.27,17.14,1.95,Construction Dust,Moderate
USA,New York,2020,151,91.2,116.19,93.64,6.02,Vehicle Emissions,Poor
Australia,Perth,2019,42,17.6,37.49,20.3,1.47,Traffic Congestion,Good
Australia,Brisbane,2026,87,48.09,85.59,59.43,3.37,Traffic Congestion,Moderate
India,Delhi,2018,356,143.17,179.92,204.36,15.37,Vehicle Emissions,Hazardous
Brazil,Rio de Janeiro,2022,175,108.17,132.74,107.06,4.87,Industrial Pollution,Poor
Australia,Adelaide,2022,66,37.93,70.67,46.59,2.86,Vehicle Emissions,Moderate
UK,Leeds,2025,119,57.74,90.6,44.36,3.1,Power Plants,Poor
Germany,Frankfurt,2023,135,68.06,109.4,86.75,5.44,Vehicle Emissions,Poor
Germany,Berlin,2023,124,72.84,128.71,79.57,5.05,Vehicle Emissions,Poor
UK,Glasgow,2023,73,32.82,45.96,44.36,3.34,Vehicle Emissions,Moderate
France,Paris,2021,92,50.59,77.47,39.28,3.06,Power Plants,Moderate
UK,Leeds,2018,71,33.13,67.2,27.66,2.55,Natural Dust,Moderate
UK,Manchester,2020,117,53.71,96.99,36.8,3.61,Construction Dust,Poor
Germany,Munich,2023,88,45.8,79.82,41.44,4.12,Burning Waste,Moderate
UAE,Dubai,2022,315,129.05,232.63,116.37,9.79,Natural Dust,Hazardous
Germany,Cologne,2018,68,33.17,67.74,41.0,2.81,Vehicle Emissions,Moderate
Brazil,Salvador,2022,242,115.47,186.15,147.9,7.63,Industrial Pollution,Very Poor
India,Bangalore,2019,463,233.79,318.2,220.0,19.59,Traffic Congestion,Hazardous
Japan,Osaka,2018,144,80.74,129.37,88.78,4.79,Industrial Pollution,Poor
UAE,Dubai,2021,163,109.15,168.31,60.25,4.39,Power Plants,Poor
USA,Houston,2023,61,27.25,59.33,20.72,1.36,Construction Dust,Moderate
Japan,Osaka,2024,111,63.01,79.73,69.61,4.51,Vehicle Emissions,Poor
India,Chennai,2026,194,110.41,139.34,69.35,6.1,Power Plants,Poor
Brazil,Fortaleza,2022,140,97.9,154.65,46.25,5.74,Burning Waste,Poor
Brazil,Salvador,2025,195,81.29,147.53,76.39,5.7,Construction Dust,Poor
USA,San Francisco,2025,148,80.18,164.19,68.23,4.62,Construction Dust,Poor
UAE,Sharjah,2026,215,143.42,227.92,90.67,6.47,Power Plants,Very Poor
France,Toulouse,2020,49,28.24,70.09,20.72,1.42,Natural Dust,Good
UK,Leeds,2020,80,34.75,53.44,56.21,3.04,Traffic Congestion,Moderate
UAE,Dubai,2026,176,113.64,170.53,102.79,5.63,Industrial Pollution,Poor
France,Nice,2024,100,55.13,138.2,32.68,2.95,Natural Dust,Moderate
Brazil,Brasilia,2021,109,54.23,118.83,37.15,3.14,Construction Dust,Poor
Germany,Munich,2018,134,65.57,89.12,87.8,4.39,Industrial Pollution,Poor
India,Mumbai,2024,480,286.25,550.0,185.79,13.92,Construction Dust,Hazardous
USA,San Francisco,2023,145,80.59,121.75,83.45,6.5,Traffic Congestion,Poor
India,Mumbai,2020,179,111.01,199.76,64.94,4.97,Construction Dust,Poor
Canada,Ottawa,2022,46,21.23,54.05,24.1,1.55,Construction Dust,Good
Canada,Montreal,2020,105,59.76,101.88,43.66,4.03,Burning Waste,Poor
UAE,Abu Dhabi,2025,244,153.52,278.81,146.72,7.24,Industrial Pollution,Very Poor
Brazil,Sao Paulo,2022,278,176.4,250.56,115.19,11.21,Burning Waste,Very Poor
Brazil,Fortaleza,2023,251,148.87,257.05,155.26,7.23,Industrial Pollution,Very Poor
UK,Birmingham,2019,103,65.36,85.81,65.16,4.38,Traffic Congestion,Poor
UK,Manchester,2025,127,69.96,95.6,81.04,5.05,Traffic Congestion,Poor
UK,Manchester,2026,130,96.87,151.48,48.61,5.29,Burning Waste,Poor
Germany,Berlin,2020,68,49.14,82.92,36.59,2.49,Burning Waste,Moderate
Japan,Kyoto,2023,173,99.09,157.96,61.49,7.51,Burning Waste,Poor
Australia,Brisbane,2023,73,39.83,78.9,50.46,2.8,Traffic Congestion,Moderate
Japan,Osaka,2019,134,52.12,103.49,82.44,6.1,Traffic Congestion,Poor
India,Chennai,2025,191,133.78,233.66,69.75,5.58,Power Plants,Poor
Japan,Yokohama,2022,167,114.53,178.05,60.15,7.38,Burning Waste,Poor
Germany,Frankfurt,2025,116,51.61,132.05,51.64,3.03,Natural Dust,Poor
India,Bangalore,2025,263,154.77,323.6,108.79,7.54,Natural Dust,Very Poor
Japan,Yokohama,2020,89,34.45,75.07,26.83,3.02,Construction Dust,Moderate
Germany,Frankfurt,2022,48,19.16,45.33,29.14,1.52,Vehicle Emissions,Good
Australia,Melbourne,2024,31,14.16,34.29,12.51,0.87,Burning Waste,Good
Japan,Osaka,2022,145,89.52,145.89,94.27,5.79,Vehicle Emissions,Poor
Germany,Hamburg,2023,109,59.92,97.37,66.5,4.59,Vehicle Emissions,Poor
UK,Manchester,2019,109,48.33,96.9,36.18,3.68,Construction Dust,Poor
Brazil,Brasilia,2025,203,76.48,96.76,126.08,8.65,Vehicle Emissions,Very Poor
UK,Leeds,2022,58,31.28,52.27,27.19,2.72,Traffic Congestion,Moderate
Brazil,Brasilia,2023,248,150.98,236.43,146.99,10.77,Vehicle Emissions,Very Poor
USA,Los Angeles,2018,146,89.09,110.31,91.93,6.18,Traffic Congestion,Poor
USA,New York,2019,53,30.8,64.63,23.78,1.93,Traffic Congestion,Moderate
USA,New York,2021,128,75.06,169.87,52.1,3.36,Natural Dust,Poor
Australia,Sydney,2026,70,41.82,68.91,34.06,3.4,Traffic Congestion,Moderate
UK,London,2023,136,66.47,94.39,77.25,6.2,Vehicle Emissions,Poor
Brazil,Brasilia,2025,167,123.8,161.03,104.67,5.36,Industrial Pollution,Poor
Germany,Frankfurt,2019,117,75.42,103.4,44.32,4.43,Burning Waste,Poor
India,Chennai,2022,339,202.78,296.77,142.44,14.39,Burning Waste,Hazardous
Germany,Frankfurt,2018,56,25.19,47.04,29.22,1.87,Vehicle Emissions,Moderate
India,Delhi,2021,226,85.4,204.88,97.29,7.25,Construction Dust,Very Poor
Canada,Calgary,2018,93,45.23,69.94,53.76,3.22,Industrial Pollution,Moderate
Germany,Hamburg,2026,71,33.38,90.23,31.86,1.76,Construction Dust,Moderate
Japan,Osaka,2019,119,46.0,101.23,40.21,3.42,Construction Dust,Poor
Japan,Osaka,2024,125,56.85,84.4,70.72,5.69,Vehicle Emissions,Poor
UAE,Sharjah,2020,237,161.43,210.99,95.44,7.24,Power Plants,Very Poor
UK,Glasgow,2019,68,24.9,51.32,42.22,2.87,Vehicle Emissions,Moderate
India,Delhi,2021,426,246.43,541.32,160.57,12.91,Natural Dust,Hazardous
India,Delhi,2024,495,325.11,430.74,195.24,15.26,Power Plants,Hazardous
UK,London,2024,87,54.88,84.73,42.79,4.14,Traffic Congestion,Moderate
Australia,Brisbane,2026,81,59.87,75.85,44.94,2.16,Industrial Pollution,Moderate
UAE,Sharjah,2020,251,163.53,260.19,95.94,7.41,Power Plants,Very Poor
Australia,Adelaide,2024,78,31.29,53.96,44.63,3.6,Vehicle Emissions,Moderate
Australia,Sydney,2023,84,52.9,86.19,46.37,3.22,Vehicle Emissions,Moderate
Australia,Sydney,2024,82,46.36,109.8,29.25,2.36,Construction Dust,Moderate
UK,Manchester,2024,128,80.36,146.45,69.79,5.32,Vehicle Emissions,Poor
Australia,Brisbane,2022,81,45.66,83.45,52.35,3.37,Traffic Congestion,Moderate
Japan,Nagoya,2026,93,40.9,91.01,46.22,3.09,Natural Dust,Moderate
USA,San Francisco,2024,114,71.63,89.11,68.16,5.05,Vehicle Emissions,Poor
Canada,Vancouver,2024,79,43.44,79.49,31.74,3.31,Burning Waste,Moderate
India,Kolkata,2020,462,267.68,368.47,186.92,18.92,Burning Waste,Hazardous
India,Delhi,2018,228,126.17,251.53,97.51,7.34,Construction Dust,Very Poor
Canada,Toronto,2022,73,35.79,51.47,28.42,1.88,Power Plants,Moderate
UK,Leeds,2025,87,57.69,75.42,43.67,2.48,Power Plants,Moderate
Germany,Cologne,2022,77,36.67,63.15,37.77,2.84,Burning Waste,Moderate
UK,Birmingham,2020,80,38.04,79.83,31.48,2.73,Natural Dust,Moderate
India,Kolkata,2026,252,170.53,214.33,159.07,7.85,Industrial Pollution,Very Poor
India,Mumbai,2019,474,286.97,331.76,220.0,20.34,Traffic Congestion,Hazardous
Canada,Calgary,2020,90,57.63,89.44,51.82,4.03,Traffic Congestion,Moderate
Australia,Sydney,2021,76,35.42,66.73,48.48,3.6,Traffic Congestion,Moderate
UK,Birmingham,2018,85,49.51,98.43,37.25,3.0,Natural Dust,Moderate
Brazil,Fortaleza,2021,192,95.67,143.13,70.59,8.18,Burning Waste,Poor
Canada,Vancouver,2021,69,38.34,55.83,32.7,2.96,Traffic Congestion,Moderate
Japan,Osaka,2026,81,34.97,75.98,25.14,2.09,Natural Dust,Moderate
India,Delhi,2025,391,180.94,223.88,220.0,12.16,Industrial Pollution,Hazardous
Canada,Ottawa,2019,124,75.13,133.16,53.94,3.59,Power Plants,Poor
UK,Leeds,2024,120,59.35,95.7,55.54,5.24,Burning Waste,Poor
India,Bangalore,2023,454,167.72,267.41,220.0,18.92,Vehicle Emissions,Hazardous
Germany,Frankfurt,2024,160,71.52,90.26,87.28,6.6,Traffic Congestion,Poor
Canada,Montreal,2021,99,72.35,136.93,57.05,3.12,Industrial Pollution,Moderate
UAE,Dubai,2022,151,78.94,99.71,89.01,4.42,Industrial Pollution,Poor
India,Mumbai,2023,458,293.06,364.27,220.0,13.79,Industrial Pollution,Hazardous
UK,Leeds,2026,110,71.09,132.82,43.39,3.07,Power Plants,Poor
USA,San Francisco,2019,32,12.26,35.61,8.91,0.8,Natural Dust,Good
Brazil,Rio de Janeiro,2026,112,70.18,155.83,41.67,3.18,Construction Dust,Poor
France,Nice,2018,146,56.96,96.92,80.76,6.07,Traffic Congestion,Poor
Australia,Melbourne,2021,85,45.04,72.5,54.21,3.4,Vehicle Emissions,Moderate
France,Paris,2022,110,41.02,81.39,70.09,4.58,Traffic Congestion,Poor
UK,London,2026,131,61.43,108.79,53.09,5.35,Burning Waste,Poor
Japan,Tokyo,2023,89,43.22,94.57,27.56,2.76,Natural Dust,Moderate
Japan,Osaka,2021,101,55.39,73.45,64.93,3.35,Industrial Pollution,Poor
USA,Los Angeles,2019,38,19.17,42.63,21.99,1.41,Traffic Congestion,Good
Australia,Perth,2022,86,59.93,71.9,34.39,2.39,Power Plants,Moderate
UAE,Al Ain,2025,337,221.65,368.83,210.88,9.84,Industrial Pollution,Hazardous
USA,San Francisco,2025,72,31.99,69.99,19.17,2.38,Natural Dust,Moderate
France,Toulouse,2023,119,68.93,125.92,49.17,5.43,Burning Waste,Poor
USA,Houston,2018,98,50.87,90.05,64.9,3.98,Vehicle Emissions,Moderate
France,Paris,2025,161,75.65,133.31,97.13,4.77,Industrial Pollution,Poor
